N	Wortform	Lemma	POS	Datum	Frequenz	Frequenz (rel.)
3	impfungen mit vakzin	impfung mit vakzin	NN APPR NN	2021-03-19	2	25.5460467492655
3	impfungen mit vakzin	impfung mit vakzin	NN APPR NN	2021-04-20	2	28.1353309418302
3	impfung mit astra	impfung mit astra	NN APPR NE	2021-03-11	4	64.6558691365209
3	impfung mit astra	impfung mit astra	NN APPR NE	2021-03-15	1	14.5623998835008
3	impfung mit astra	impfung mit astra	NN APPR NE	2021-03-16	6	80.4343454655138
3	impfung mit astra	impfung mit astra	NN APPR NE	2021-03-24	1	15.7629255989912
3	impfung mit astra	impfung mit astra	NN APPR NE	2021-03-30	1	13.7742944117688
3	impfung mit astra	impfung mit astra	NN APPR NE	2021-04-28	1	13.6289915909122
3	impfung mit pfizer/biontech	impfung mit pfizer/biontech	NN APPR NN	2021-06-02	1	13.9600463473539
3	impfung mit nebenwirkungen	impfung mit nebenwirkung	NN APPR NN	2021-05-31	1	13.99188470687
3	impfung mit nebenwirkungen	impfung mit nebenwirkung	NN APPR NN	2021-06-04	1	13.9651151423743
3	impfung mit nebenwirkungen	impfung mit nebenwirkung	NN APPR NN	2021-06-06	1	17.2819023918153
3	impfung mit astrazenca	impfung mit astrazenca	NN APPR NE	2021-05-10	1	14.5150521090371
3	impfung mit kochsalzlösung	impfung mit kochsalzlösung	NN APPR NN	2021-05-07	1	13.8962230065868
3	impfung mit moderna-vakzinen	impfung mit moderna-vakzinen	NN APPR NN	2021-05-06	1	12.9720193542529
3	impfung mit mrna-impfstoffen	impfung mit mrna-impfstoffen	NN APPR NE	2021-06-03	1	16.0464705787962
3	impfung mit astrazenec	impfung mit astrazenec	NN APPR NN	2021-05-19	1	12.6660840268014
3	impfung mit vaxzevria	impfung mit vaxzevria	NN APPR NE	2021-06-11	1	13.2070737086784
3	impfung mit medikamenten	impfung mit medikament	NN APPR NN	2021-06-26	1	19.6710992210245
3	impfungen mit astrazeneca	impfung mit astrazeneca	NN APPR NN	2021-06-18	1	12.7124569365521
3	impfungen mit biontech/pfizer	impfung mit biontech/pfizer	NN APPR NN	2021-06-04	1	13.9651151423743
3	impfungen mit biontech/pfizer	impfung mit biontech/pfizer	NN APPR NN	2021-06-05	2	43.5587498638789
3	impfungen mit biontech/pfizer	impfung mit biontech/pfizer	NN APPR NN	2021-07-09	1	14.2683883855319
3	impfungen mit mrna-präparaten	impfung mit mrna-präparaten	NN APPR NN	2021-06-07	1	12.4024854580858
3	impfung mit mrna-vakzinen	impfung mit mrna-vakzinen	NN APPR NN	2021-06-25	1	13.8119639231502
3	impfung mit mrna-vakzinen	impfung mit mrna-vakzinen	NN APPR NN	2021-06-14	1	15.8456004690298
3	impfung mit mrna-vakzinen	impfung mit mrna-vakzinen	NN APPR NN	2021-06-15	1	12.6924492619341
3	impfung mit rna-vakzinen	impfung mit rna-vakzinen	NN APPR NN	2021-06-25	1	13.8119639231502
3	impfungen mit geldgewinnen	impfung mit geldgewinnen	NN APPR NN	2021-07-08	1	13.4044663681939
3	impfungen mit mrna-mitteln	impfung mit mrna-mitteln	NN APPR NN	2021-06-24	2	30.6899091578689
3	impfungen mit kochsalzlösungen	impfung mit kochsalzlösung	NN APPR NN	2021-08-10	1	14.027999887776
3	impfungen mit kochsalzlösungen	impfung mit kochsalzlösung	NN APPR NN	2021-08-12	2	28.6020736503397
3	impfungen mit kochsalzlösungen	impfung mit kochsalzlösung	NN APPR NN	2021-08-13	5	68.3957102210549
3	impfungen mit kochsalzlösungen	impfung mit kochsalzlösung	NN APPR NN	2021-08-17	2	28.5322985619722
3	impfungen mit kochsalzlösungen	impfung mit kochsalzlösung	NN APPR NN	2021-08-20	1	14.2312290089372
3	impfungen mit kochsalzlösungen	impfung mit kochsalzlösung	NN APPR NN	2021-08-26	3	42.8528575713857
3	impfungen mit mrna-vakzinen	impfung mit mrna-vakzinen	NN APPR NN	2021-08-12	1	14.3010368251698
3	impfungen mit kochsalz-lösungen	impfung mit kochsalz-lösungen	NN APPR NN	2021-08-11	1	13.9602412329685
3	impfung mit corona-infektion	impfung mit corona-infektion	NN APPR NN	2021-09-04	1	24.358755754756
3	impfung mit aussicht	impfung mit aussicht	NN APPR NN	2021-09-03	1	13.9433065157071
3	impfungen mit moderna	impfung mit moderna	NN APPR NN	2021-08-29	1	19.755818088427
